2026-04-23 16:07:52,715 | INFO | core.signal_engine | [USDJPY] filtered at structure: no actionable BOS/CHoCH | trend=BULLISH, direction=NONE, event=none
2026-04-23 16:07:54,294 | INFO | core.signal_engine | [GBPJPY] filtered at structure: no actionable BOS/CHoCH | trend=BULLISH, direction=NONE, event=none
2026-04-23 16:07:54,294 | INFO | engine | Scan completed | found=0 sent=0 pairs=4
2026-04-23 16:12:49,384 | INFO | core.signal_engine | [EURUSD] filtered at premium_discount: zone does not match trade direction | side=SELL, zone=DISCOUNT, bias=NEUTRAL, midpoint=1.17681
2026-04-23 16:12:51,512 | INFO | core.signal_engine | [GBPUSD] filtered at structure: no actionable BOS/CHoCH | trend=NEUTRAL, direction=NONE, event=none
2026-04-23 16:12:53,256 | INFO | core.signal_engine | [USDJPY] filtered at structure: no actionable BOS/CHoCH | trend=BULLISH, direction=NONE, event=none
2026-04-23 16:12:54,826 | INFO | core.signal_engine | [GBPJPY] filtered at structure: no actionable BOS/CHoCH | trend=BULLISH, direction=NONE, event=none
2026-04-23 16:12:54,826 | INFO | engine | Scan completed | found=0 sent=0 pairs=4
2026-04-23 16:17:49,578 | INFO | core.signal_engine | [EURUSD] filtered at premium_discount: zone does not match trade direction | side=SELL, zone=DISCOUNT, bias=NEUTRAL, midpoint=1.17681
2026-04-23 16:17:51,385 | INFO | core.signal_engine | [GBPUSD] filtered at structure: no actionable BOS/CHoCH | trend=NEUTRAL, direction=NONE, event=none
2026-04-23 16:17:52,983 | INFO | core.signal_engine | [USDJPY] filtered at structure: no actionable BOS/CHoCH | trend=BULLISH, direction=NONE, event=none
2026-04-23 16:17:55,216 | INFO | core.signal_engine | [GBPJPY] filtered at structure: no actionable BOS/CHoCH | trend=BULLISH, direction=NONE, event=none
2026-04-23 16:17:55,217 | INFO | engine | Scan completed | found=0 sent=0 pairs=4
2026-04-23 16:22:49,373 | INFO | core.signal_engine | [EURUSD] filtered at premium_discount: zone does not match trade direction | side=SELL, zone=DISCOUNT, bias=NEUTRAL, midpoint=1.17681
2026-04-23 16:22:50,840 | INFO | core.signal_engine | [GBPUSD] filtered at structure: no actionable BOS/CHoCH | trend=NEUTRAL, direction=NONE, event=none
2026-04-23 16:22:52,241 | INFO | core.signal_engine | [USDJPY] filtered at structure: no actionable BOS/CHoCH | trend=BULLISH, direction=NONE, event=none
2026-04-23 16:22:54,088 | INFO | core.signal_engine | [GBPJPY] filtered at structure: no actionable BOS/CHoCH | trend=BULLISH, direction=NONE, event=none
2026-04-23 16:22:54,088 | INFO | engine | Scan completed | found=0 sent=0 pairs=4
2026-04-23 16:27:48,956 | INFO | core.signal_engine | [EURUSD] filtered at premium_discount: zone does not match trade direction | side=SELL, zone=DISCOUNT, bias=NEUTRAL, midpoint=1.17681
2026-04-23 16:27:50,364 | INFO | core.signal_engine | [GBPUSD] filtered at structure: no actionable BOS/CHoCH | trend=NEUTRAL, direction=NONE, event=none
2026-04-23 16:27:51,787 | INFO | core.signal_engine | [USDJPY] filtered at structure: no actionable BOS/CHoCH | trend=BULLISH, direction=NONE, event=none
2026-04-23 16:27:53,147 | INFO | core.signal_engine | [GBPJPY] filtered at structure: no actionable BOS/CHoCH | trend=BULLISH, direction=NONE, event=none
2026-04-23 16:27:53,147 | INFO | engine | Scan completed | found=0 sent=0 pairs=4
2026-04-23 16:32:48,915 | INFO | core.signal_engine | [EURUSD] filtered at structure: no actionable BOS/CHoCH | trend=BEARISH, direction=NONE, event=none
2026-04-23 16:32:50,411 | INFO | core.signal_engine | [GBPUSD] filtered at structure: no actionable BOS/CHoCH | trend=BULLISH, direction=NONE, event=none
2026-04-23 16:32:51,697 | INFO | core.signal_engine | [USDJPY] filtered at structure: no actionable BOS/CHoCH | trend=BULLISH, direction=NONE, event=none
2026-04-23 16:32:52,973 | INFO | core.signal_engine | [GBPJPY] filtered at structure: no actionable BOS/CHoCH | trend=BULLISH, direction=NONE, event=none
2026-04-23 16:32:52,973 | INFO | engine | Scan completed | found=0 sent=0 pairs=4
2026-04-23 16:37:49,250 | INFO | core.signal_engine | [EURUSD] filtered at structure: no actionable BOS/CHoCH | trend=BEARISH, direction=NONE, event=none
2026-04-23 16:37:50,999 | INFO | core.signal_engine | [GBPUSD] filtered at structure: no actionable BOS/CHoCH | trend=BULLISH, direction=NONE, event=none
2026-04-23 16:37:52,316 | INFO | core.signal_engine | [USDJPY] filtered at structure: no actionable BOS/CHoCH | trend=BULLISH, direction=NONE, event=none
2026-04-23 16:37:53,651 | INFO | core.signal_engine | [GBPJPY] filtered at structure: no actionable BOS/CHoCH | trend=BULLISH, direction=NONE, event=none
2026-04-23 16:37:53,651 | INFO | engine | Scan completed | found=0 sent=0 pairs=4
2026-04-23 16:42:49,268 | INFO | core.signal_engine | [EURUSD] filtered at premium_discount: zone does not match trade direction | side=SELL, zone=DISCOUNT, bias=NEUTRAL, midpoint=1.17674
2026-04-23 16:42:50,910 | INFO | core.signal_engine | [GBPUSD] filtered at structure: no actionable BOS/CHoCH | trend=BULLISH, direction=NONE, event=none
